period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2017-12-31,2017,516.084,3.725,198.70499999999993,317.379,42.145,23.837,33.562,224.015,129.926,223.098,131.167,True,0.38502453089032007,0.08166306260221205,-9.724999999999998,1.7241737604482552,1.700869883431046
2018-12-31,2018,686.073,9.356,258.01099999999997,428.062,63.546,49.991,26.866,260.639,137.856,227.297,156.638,True,0.3760693104086591,0.0926227966994766,23.125,1.8906612697307337,1.451097434849781
2019-12-31,2019,795.122,11.725,282.5419999999999,512.58,46.613,90.765,42.264,259.197,157.569,216.501,225.411,True,0.3553442113285759,0.05862370805989521,48.501,1.6449745825638293,0.9604722041071643
2020-12-31,2020,652.537,3.961,249.14500000000004,403.392,23.543,107.239,18.482,259.351,138.696,190.77,242.267,True,0.38180976710899156,0.036079180184418656,88.757,1.8699241506604372,0.7874370013249845
2021-12-31,2021,1029.293,43.9,380.9909999999999,648.302,95.465,87.362,27.759,452.598,285.011,173.213,321.638,True,0.3701482473892273,0.09274812905557506,59.602999999999994,1.5880018665946225,0.5385340040666837
2022-12-31,2022,1322.706,-8.035,434.02099999999996,888.685,-11.92,-40.134,59.148,473.172,361.397,153.778,368.224,True,0.3281311190846643,-0.009011828781301363,-99.28200000000001,1.3092859099549803,0.41762079603719476
2023-12-31,2023,1096.086,-154.079,333.001,763.085,-103.827,30.935,35.131,342.876,358.832,153.058,231.941,True,0.3038091901547871,-0.09472523141432333,-4.1960000000000015,0.9555335087171712,0.6599005781642745
2024-12-31,2024,1049.85,-14.718,434.5319999999999,615.318,12.991,123.524,32.791,287.059,305.794,122.815,233.019,True,0.41389912844692095,0.012374148687907796,90.733,0.9387332648776628,0.5270600251481639
2025-12-31,2025,908.209,-67.36,351.2689999999999,556.94,-45.543,-5.12,32.965,290.396,243.917,100.303,185.814,True,0.38677110665056164,-0.05014594658277996,-38.085,1.1905525240143164,0.5398032441043193
