period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2018-12-31,2018,67.43,-61.376,,,-48.934,-12.991,1.824,74.201,32.952,,10.08,False,,-0.7257007266795193,-14.815,2.2517904831269724,
2019-12-31,2019,52.609,-66.246,,,-52.668,-60.21,0.663,68.314,18.555,70.0,-6.122,False,,-1.0011214811153986,-60.873,3.681703045001347,-11.434171839268213
2020-12-31,2020,45.849,-55.783,32.885,12.964,-42.893,-45.459,0.517,44.625,21.104,51.5,-48.497,True,0.7172457414556479,-0.9355274924207726,-45.976000000000006,2.114528051554208,-1.0619213559601626
2021-12-31,2021,50.832,-70.539,,,-34.679,-32.979,0.913,47.259,21.964,,-82.134,False,,-0.6822277305634247,-33.891999999999996,2.151657257330177,
2022-12-31,2022,47.68,-54.41,,,-42.066,-9.789,1.024,39.888,39.528,,-118.554,False,,-0.882256711409396,-10.812999999999999,1.0091074681238617,
2023-12-31,2023,50.583,-7.87,29.752,20.831,-15.102,-6.38,0.995,40.966,18.308,45.0,-106.487,True,0.5881818002095566,-0.29855880434137955,-7.375,2.2376010487218703,-0.42258679463220866
2024-12-31,2024,57.561,-44.137,39.689,17.872,-30.771,-35.759,0.159,88.22,18.865,45.0,-60.156,True,0.6895119959694932,-0.5345807056861417,-35.918,4.676384839650146,-0.7480550568521843
2025-12-31,2025,44.545,-83.784,25.990000000000002,18.555,-71.051,-52.432,0.562,149.269,47.608,45.0,-33.662,True,0.5834549332136042,-1.5950387248849478,-52.994,3.1353764073265,-1.3368189650050502
